bmu,p50_energy_yield,p50_ideal_yield,curtailment,GWh/MW,curtailment %,n_data_points,r2,lat,lon,capacity,name,gen_type,era5_lat,era5_lon
ABRBO-1,328.52664625854453,328.52664625854453,0.0,3.39387031258827,0.0,53,0.9358287412555973,57.2260574,-1.9968464,96.8,European Offshore Wind Deployment Centre,offshore wind farm,57.25,358.0
ABRTW-1,84.4740301933734,92.09011611523621,7.61608592186282,2.3465008387048165,9.015890332719401,55,0.8761013654524822,55.6211539,-3.9920599,36.0,Auchrobert Wind Farm,onshore wind farm,55.5,356.0
ACHRW-1,105.93493357065734,106.49545863470698,0.5605250640496396,2.486735529827637,0.529122023450155,54,0.8391168585899662,56.1305186,-5.3385229,42.6,A’Chruach Wind Farm,onshore wind farm,56.25,354.75
ANSUW-1,46.85964958238927,46.89426344523105,0.03461386284178588,2.4279611182585112,0.0738670970659465,74,0.8905574798235968,56.220083,-5.2151455,19.3,An Suidhe Wind Farm,onshore wind farm,56.25,354.75
ARCHW-1,221.4928103308302,244.7919201390202,23.299109808190007,1.8457734194235849,10.519126906823548,75,0.7642908872556238,55.0678635,-4.8689509,120.0,Arecleoch Wind Farm,onshore wind farm,55.0,355.25
ASHWW-1,92.60236767778206,97.01387113381338,4.41150345603132,2.645781933650916,4.763920801011835,57,0.8982613550725925,55.5072121,-3.8310474,35.0,Andershaw Wind Farm,onshore wind farm,55.5,356.25
BABAW-1,128.73041361840856,139.03377264782137,10.30335902941278,2.4520078784458774,8.003826554892225,80,0.8965195757578388,58.5661058,-3.6725265,52.5,Baillie Wind Farm,onshore wind farm,58.5,356.25
BEATO-1,473.3875462012852,475.96482560611673,2.577279404831482,0.8050808608865395,0.5444332926611505,52,0.8490997058945808,58.2524573,-2.8844005,588.0,Beatrice Wind Farm,offshore wind farm,58.25,357.0
BEATO-2,498.14764543621556,499.10796646842624,0.9603210322107266,0.8471898731908428,0.19277839431917765,55,0.8637119825128189,58.2524573,-2.8844005,588.0,Beatrice Wind Farm,offshore wind farm,58.25,357.0
BEATO-3,636.6932737198135,638.4695069254191,1.7762332056055012,1.082811689999683,0.2789778499194825,53,0.8694602322759832,58.2524573,-2.8844005,588.0,Beatrice Wind Farm,offshore wind farm,58.25,357.0
BEATO-4,654.4932979850554,657.0307047953379,2.5374068102825733,1.1130838401106384,0.3876902663624391,55,0.8678430081852028,58.2524573,-2.8844005,588.0,Beatrice Wind Farm,offshore wind farm,58.25,357.0
BEINW-1,248.4364339392619,248.87080852071261,0.43437458145073404,2.2834231060593924,0.174843349086604,56,0.9147554551726553,57.128494,-4.9301952,108.8,Beinneun Wind Farm,onshore wind farm,57.25,355.0
BETHW-1,57.091821221974776,64.95814900635472,7.866327784379933,1.9686834904129233,13.778379487659723,50,0.9447241078480195,57.7997041,-4.3302391,29.0,Beinn Tharsuinn Wind Farm,onshore wind farm,57.75,355.75
BHLAW-1,215.92138424500075,264.0230983467274,48.10171410172664,1.9992720763425995,22.277420214732782,65,0.8980358634029522,57.2485412,-4.7166783,108.0,Bhlaraidh Wind Farm,onshore wind farm,57.25,355.25
BLKWW-1,168.15674861692767,169.0564950097701,0.8997463928424435,3.1787665144976875,0.5350640995635125,55,0.939727905830025,55.1262316,-4.0286704,52.9,Blackcraig Wind Farm,onshore wind farm,55.25,356.0
BLLA-2,113.5592212076725,130.19014000678868,16.630918799116188,0.604038410679109,14.645150452997772,51,0.8809128350107709,55.7763267,-3.7548872,188.0,Black Law Wind Farm,onshore wind farm,55.75,356.25
BLLA-1,187.91842375647477,203.22079077355158,15.302367017076858,0.999566083811036,8.143090342704948,74,0.9068729584310294,55.7763267,-3.7548872,188.0,Black Law Wind Farm,onshore wind farm,55.75,356.25
BNWKW-1,56.97412011804731,59.82990781747853,2.8557876994312044,2.532183116357658,5.012429667214107,57,0.8345225104040173,58.3550137,-3.2145846,22.5,Burn of Whilk Wind Farm,onshore wind farm,58.25,356.75
BOWLW-1,274.96230305739135,276.4482962174367,1.485993160045268,3.0551367006376817,0.5404352318561665,83,0.8291412723494432,53.9916051,-3.2976403,90.0,Barrow Offshore Wind Farm,offshore wind farm,54.0,356.75
BRDUW-1,156.19860872427915,160.0725927471186,3.87398402283943,2.1694251211705438,2.4801655113828596,78,0.9005156463909055,56.2601489,-4.0658634,72.0,Braes of Doune Wind Farm,onshore wind farm,56.25,356.0
BRYBW-1,162.27344104802884,168.44410093949574,6.170659891466909,2.4328851731338657,3.802630825854336,81,0.9075770207824193,57.4787324,-3.5297439,66.7,Berry Burn Wind Farm,onshore wind farm,57.5,356.5
BTUIW-2,96.85862686942016,104.38153434550622,7.522907476086035,0.8208358209272896,7.766894616654057,56,0.931916626737719,55.5594749,-5.5865631,118.0,Beinn an Tuirc Wind Farm,onshore wind farm,55.5,354.5
