bmrs_id,repd_id,name,capacity,turbine_capacity,turbine_count,lon,lat,gen_type
['ABRBO-1'],[2505],European Offshore Wind Deployment Centre,96.8,[8.4],[11.0],-1.9968464,57.2260574,offshore wind farm
['ABRTW-1'],[4337],Auchrobert Wind Farm,36,[2.5],[12.0],-3.9920599,55.6211539,onshore wind farm
['ACHRW-1'],[4331],A’Chruach Wind Farm,42.6,[2.3],[21.0],-5.3385229,56.1305186,onshore wind farm
['AFTOW-1'],[4262],Afton Wind Farm,50,[2.75],[25.0],-4.1684765,55.3116064,onshore wind farm
['AIRSW-1'],[4462],Airies Wind Farm,35,[2.9],[14.0],-4.7046059,54.9743434,onshore wind farm
"['AKGLW-3', 'AKGLW-1', 'AKGLW-2']","[4332, 4526, 4591]",Aikengall Community Wind Farm,,"[3.2, 3.0, 3.6]","[19.0, 16.0, 18.0]",-2.4665849,55.900701,onshore wind farm
['ANSUW-1'],[3298],An Suidhe Wind Farm,19.3,[0.9],[23.0],-5.2151455,56.220083,onshore wind farm
['ARCHW-1'],[3258],Arecleoch Wind Farm,120,[2.0],[60.0],-4.8689509,55.0678635,onshore wind farm
['ASHWW-1'],[4110],Andershaw Wind Farm,35,[2.5],[14.0],-3.8310474,55.5072121,onshore wind farm
['ASLVW-1'],[4645],Assel Valley Wind Farm,25,[2.3],[11.0],-4.8141341,55.2225216,onshore wind farm
['BABAW-1'],[4021],Baillie Wind Farm,52.5,[2.5],[21.0],-3.6725265,58.5661058,onshore wind farm
['BDCHW-1'],[4646],Bad a Cheo Wind Farm,26.7,[2.05],[13.0],-3.4239833,58.4197009,onshore wind farm
"['BEATO-1', 'BEATO-2', 'BEATO-3', 'BEATO-4']",[2521],Beatrice Wind Farm,588,[7.0],[84.0],-2.8844005,58.2524573,offshore wind farm
['BEINW-1'],[3787],Beinneun Wind Farm,108.8,[3.4],[25.0],-4.9301952,57.128494,onshore wind farm
['BETHW-1'],[4669],Beinn Tharsuinn Wind Farm,29,[1.75],[17.0],-4.3302391,57.7997041,onshore wind farm
['BHLAW-1'],[4640],Bhlaraidh Wind Farm,108,[3.43],[32.0],-4.7166783,57.2485412,onshore wind farm
['BLARW-1'],[4605],Blary Hill Wind Farm,35,[2.5],[14.0],-5.6292486,55.5696463,onshore wind farm
['BLKWW-1'],[4032],Blackcraig Wind Farm,52.9,[3.0],[23.0],-4.0286704,55.1262316,onshore wind farm
"['BLLA-2', 'BLLA-1']",[3116],Black Law Wind Farm,188,[2.3],[54.0],-3.7548872,55.7763267,onshore wind farm
['BNWKW-1'],[4122],Burn of Whilk Wind Farm,22.5,[2.5],[9.0],-3.2145846,58.3550137,onshore wind farm
['BOWLW-1'],[2546],Barrow Offshore Wind Farm,90,[3.0],[30.0],-3.2976403,53.9916051,offshore wind farm
['BRDUW-1'],[3119],Braes of Doune Wind Farm,72,[2.0],[36.0],-4.0658634,56.2601489,onshore wind farm
['BRNLW-1'],[4348],Brownieleys Wind Farm,7.5,[2.35],[3.0],-2.3725807,56.8455898,onshore wind farm
['BRYBW-1'],[4261],Berry Burn Wind Farm,66.7,[2.3],[29.0],-3.5297439,57.4787324,onshore wind farm
"['BTUIW-1', 'BTUIW-2', 'BTUIW-3']","[3292, 4525]",Beinn an Tuirc Wind Farm,118,"[0.37, 2.0, 2.3]","[46.0, 19.0, 16.0]",-5.5865631,55.5594749,onshore wind farm
"['BTUIW-1', 'BTUIW-2', 'BTUIW-3']",[3387],Beinn an Tuirc Wind Farm,118,"[0.37, 2.0, 2.3]","[46.0, 19.0, 16.0]",-5.587316349,55.5731683,onshore wind farm
